Common_name ,Scientific_name ,taxa_group,taxa_phyla,taxa_class,Light_Level,Method,Mean_CFF_hz,Max_CFF_Hz,length_mm,Bodymass(g),Temp_max,Habitat,mode_of_life,mode_of-life_old,Eyes_removed,Notes,,
anole_lizard,Anolis_carolinensis,vert,reptile,reptile,high,ERG,34.55,36,203.2,2.3,,arboreal,pred_ballistic,scavenger/insectivors ,no,,,
siamise_fighting_fish,Betta_splendens,vert,fish,fish,high,Beh,45.05,60,65,2.5,,benthopelagic,pred_ballistic,scavenger,,need_size infered,,
deep_sea_crab,Gastroptychus_spinifer,invert,arthropod,crustacean,low,ERG,,10,,3.08,7,demersal,pred_forage,predator,Yes ,,,
giant_isopod,Glyptonotus_antarcticus,invert,arthropod,crustacean,low,ERG,,12,,3.93,-1.9,demersal,scavenger,scavenger,NA,,,
anole_lizard,Anolis_valencienni,vert,reptile,reptile,high,ERG,,33.4,38-85,4,,arboreal,pred_ballistic,,no,,,
anole_lizard,Anolis_lineatopus,vert,reptile,reptile,low,ERG,26,26,35-85,4.9,,arboreal,pred_ballistic,scavenger/insectivors ,no,,,
anole_lizard,Anolis_grahami,vert,reptile,reptile,high,ERG,34.65,36,160,6.1,,arboreal,pred_ballistic,scavenger/insectivors ,,,,
wolf_spider,Lycosa_baltimoriana,invert,arthropod,spider,low,ERG,,10,,6.2,22,terrestrial,pred_ballistic,predator_oppertunistic,No,,,
anole_lizard,Anolis_gundlachi,vert,reptile,reptile,high,ERG,50,55,68,6.9,,arboreal,pred_ballistic,predator/scavenger/insectivors ,,,,
Hermit_crab,Pagurus_bernhardus,invert,arthropod,crustacean,high,ERG,53,56,,7.3,,demersal,pred_forage,scavenger,,,,
Glass_shrimp,Pasiphaea_multidentata,invert,arthropod,crustacean,low,ERG,,21,,7.39,5,bathypelagic,pred_ballistic,scavenger,no,,,
anole_lizard,Anolis_sagrei,vert,reptile,reptile,high,ERG,34.4,35,68,8,,arboreal,pred_ballistic,predator/scavenger/insectivors ,no,,,
Anole,Anolis_cristatellus,vert,reptile,reptile,high,ERG,,58.5,,8.4,,arboreal,pred_ballistic,,,,,
Blue_tit,Cyanistes_caeruleus,vert,aves,aves,high,Beh,130.3,131,,10,,volant,pred_forage,,,,,
Tiger_salamander,Ambystoma_tigrinum,vert,amphibian,amphibian,low,ERG,,30,,10.78,,terrestrial,pred_ballistic,,,,,
Goldfish,Carassius_auratus,vert,fish,fish,high,ERG,67,67.2,,10.8,25,pelagic,pred_forage,,,could be easily classed as scavenger though,,
Collared_flycatcher,Ficedula_albicollis,vert,aves,aves,high,Beh,128.1,141,,13,,volant,pred_pursuit,,,,,
Pied_flycatcher,Ficedula_hypoleuca,vert,aves,aves,high,Beh,138.2,146,,13,,volant,pred_pursuit,,,,,
Grunion,Leuresthes_tenuis,vert,fish,fish,high,VEP,,60,190,15,23,pelagic,pred_ballistic,predator,,"Martin, K. L. M., Hieb, K. A., & Roberts, D. A. (2013). A Southern California Icon Surfs North: Local Ecotype of California Grunion, Leuresthes tenuis (Atherinopsidae), Revealed by Multiple Approaches during Temporary Habitat Expansion into San Francisco Bay. Copeia, 2013(4), 729–739. doi:10.1643/ci-13-036 ",,
Devil_crayfish,Cambarus_diogenes,invert,arthropod,crustacean,low,ERG,53,56,,29,,demersal,pred_forage,predator,,could be easily classed as scavenger though,,
Budgie,Melopsittacus_undulatus,vert,aves,aves,high,Beh,,74.7,,33.6,,volant,pred_forage,,,,,
American_cockroach,Periplaneta_americano,invert,arthropod,insect,low,ERG,42.5,60,,42.5,,terrestrial,pred_forage,scavenger,,,,
Gekko,Gekko_gekko,vert,reptile,reptile,low,ERG,,20,,54.8,29,arboreal,pred_ballistic,predator_insectivorous ,no,,,
green_frog,Rana_clamitans,vert,amphibian,amphibian,low,ERG,21,21,80,60,,terrestrial,pred_ballistic,predator_oppertunistic,yes,,,
Precocious_lamprey,Mordacia_praecox,vert,fish,fish,low,ERG,,31.1,375,67,24,demersal,parasite,predator,,,,
Shortheaded_lamprey,Mordacia_mordax,vert,fish,fish,low,ERG,37,39.6,37.5,67,24,demersal,parasite,predator,,,,
European_eel,Anguilla_anguilla,vert,fish,fish,low,Beh,14,14,500,71.1,,demersal,pred_forage,predator,,,,
Common_starling ,Sturnus_vulgaris,vert,aves,aves,high,ERG,,100,,75,,volant,pred_forage,,,,,
common_treeshrew,Tupaia_glis,vert,mammalia,shrew,high,Beh,,90,,142,,arboreal,pred_forage,,,,,
river_lamprey,Lampetra_fluviatilis,vert,fish,fish,low,ERG,,24,350,150,10,demersal,parasite,predator/parasitic,,,,
little_owl,Athene_noctua,vert,aves,aves,low,ERG,50,50,,186,,volant,pred_ballistic,predator,,CFF is 50/16 with LI,go back and check,
longspine_thornyhead,Sebastolobus_altivelis,vert,fish,fish,low,VEP,,10,390,200,8,demersal,pred_forage,Marine ,,no size,,
American_red_squirrel,Tamiasciurus_hudsonicus,vert,mammalia,rodent,high,ERG,,65,,215,,arboreal,herbivore,scavenger,,,,
Ground_squirrel,Spermophilus_lateralis,vert,mammalia,rodent,high,ERG,,108,,215.5,,terrestrial,herbivore,,,,,
Rock_lobster,Jasus_edwardsii,invert,arthropod,crustacean,low,ERG,55,60,,226.4,,demersal,pred_forage,predator,,,,
Rat,Rattus_norvegicus,vert,mammalia,rodent,low,ERG,,39,,237,,terrestrial,pred_forage,scavenger,,,,
tree_shrew,Tupaia_belangeri,vert,mammalia,shrew,high,Beh,60,70,410,270,,arboreal,herbivore,scavenger,,,,
Little_skate,Leucoraja_erinacea,vert,elasmo,skate,low,ERG,17.5,30,375,309.57,20,demersal,pred_forage,,,used fishbase,,
Rock_Pigeon,Columba_livia,vert,aves,aves,high,ERG,,143,,315,,volant,herbivore,,,,,
Tuatara,Sphenodon_punctatus,vert,reptile,reptile,low,Beh,,55.4,,353.75,,terrestrial,herbivore,,,,,
Short_ear_owl,Asio_flammeus,vert,aves,aves,high,ERG,,67.5,,406,,volant,pred_ballistic,,,,,
Spot,Leiostomus_xanthurus,vert,fish,fish,high,ERG,,55,250,450,22,demersal,pred_forage,scavenger,,,,
Epaulette_shark,Hemiscyllium_ocellatum,vert,elasmo,shark,low,ERG,,40,440,487.38,,demersal,pred_forage,scavenger,,need size,,
Peregrine_falcon,Falco_peregrinus,vert,aves,aves,high,Beh,108,108,,535,,volant,pred_pursuit,,,,,
Peregrine_falcon,Falco_peregrinus,vert,aves,aves,high,Beh,107,,,535,,volant,pred_pursuit,,,,,
Guinea_pig,Cavia_porcellus,vert,mammalia,rodent,low,ERG,,50,,629,,terrestrial,herbivore,scavenger,,,,
Saker_falcon,Falco_cherrug,vert,aves,aves,high,Beh,93,93,,700,,volant,pred_pursuit,,,,,
Iguana,Iguana_Iguana,vert,reptile,rodent,high,ERG,,80,,750,29,arboreal,pred_ballistic,scavenger,no,,,
Harris_falcon,Parabuteo_unicinctus,vert,aves,aves,high,Beh,,81,,950,,volant,pred_pursuit,,,,,
Harris_falcon,Parabuteo_unicinctus,vert,aves,aves,high,Beh,67,,,950,,volant,pred_pursuit,,,,,
Grey_snapper,Lutjanus_griseus,vert,fish,fish,low,ERG,,47,400,1057.91,25,pelagic,pred_ballistic,,,"20000(max recorded weight , seems way off ",need size,could easily be defined as pred_forage
Puffadder_shyshark,Haploblepharus_edwardsii,vert,elasmo,shark,low,ERG,,29,600,1321.309,,demersal,pred_forage,,,used fishbase,,
Striped_mullet,Mugil_cephalus,vert,fish,fish,high,VEP,,100,500,1424,26,pelagic,pred_forage,,,,,
Great_horned_owl,Bubo_virginianus,vert,aves,aves,low,ERG,,40,,1450,,volant,pred_ballistic,,,,,
Pinfish,Lagodon_rhomboides,vert,fish,fish,high,ERG,,44,180,1500,25,demersal,pred_forage,scavenger,,,,
Smooth_dogfish,Mustelus_canis,vert,elasmo,shark,low,ERG,13,13,910,1570,20,demersal,pred_forage,predator,no,,,
Crown_of_thorns_starfish,Axcanthaster_planci,invert,echinoderm,echinoderm,high,ERG,,0.7,350,1600,27,marine_reef,pred_forage,predator_foraging ,Yes,,,
Bonnethead_shark,Sphyrna_tiburo,vert,elasmo,shark,high,ERG,,31,816,1824.59,25,demersal,pred_forage,predator,,used fishbase,,
Scalloped_hammerhead,Sphyrna_lewini,vert,elasmo,shark,low,ERG,27,27.3,561,1893,25,pelagic,pred_ballistic,predator,,,,
