"","taxa_group","taxa_phyla","taxa_class","Light_Level","Method","Max_CFF_Hz","Bodymass.g.","Habitat","mode_of_life"
"Anolis_carolinensis","vert","reptile","reptile","high","ERG",36,2.3,"arboreal","pred_ballistic"
"Anolis_pulchellus","vert","reptile","reptile","high","ERG",63,1.6,"arboreal","pred_ballistic"
"Anolis_gundlachi","vert","reptile","reptile","high","ERG",55,6.9,"arboreal","pred_ballistic"
"Anolis_cristatellus","vert","reptile","reptile","high","ERG",58.5,8.4,"arboreal","pred_ballistic"
"Anolis_sagrei","vert","reptile","reptile","high","ERG",35,8,"arboreal","pred_ballistic"
"Anolis_lineatopus","vert","reptile","reptile","low","ERG",26,4.9,"arboreal","pred_ballistic"
"Anolis_valencienni","vert","reptile","reptile","high","ERG",33.4,4,"arboreal","pred_ballistic"
"Anolis_grahami","vert","reptile","reptile","high","ERG",36,6.1,"arboreal","pred_ballistic"
"Anolis_auratus","vert","reptile","reptile","high","ERG",44,1.9,"arboreal","pred_ballistic"
"Anolis_limifrons","vert","reptile","reptile","low","ERG",29,1.8,"arboreal","pred_ballistic"
"Rattus_norvegicus","vert","mammalia","rodent","low","ERG",39,237,"terrestrial","pred_forage"
"Cavia_porcellus","vert","mammalia","rodent","low","ERG",50,629,"terrestrial","pred_forage"
"Spermophilus_lateralis","vert","mammalia","rodent","high","ERG",108,215.5,"terrestrial","pred_forage"
"Tamiasciurus_hudsonicus","vert","mammalia","rodent","high","ERG",65,215,"arboreal","pred_forage"
"Macaca_mulatta","vert","mammalia","primate","high","Beh",95,7710,"terrestrial","pred_forage"
"Homo_sapiens","vert","mammalia","primate","high","Beh",60,67100,"terrestrial","pred_forage"
"Tupaia_glis","vert","mammalia","shrew","high","Beh",90,142,"arboreal","pred_forage"
"Tupaia_belangeri","vert","mammalia","shrew","high","Beh",70,270,"arboreal","pred_forage"
"Pagophilus_groenlandicus","vert","mammalia","carnivora","low","Beh",32.7,119600,"benthopelagic","pred_ballistic"
"Canis_lupus","vert","mammalia","mammalia","high","Beh",75,13900,"terrestrial","pred_forage"
"Felis_silvestris","vert","mammalia","carnivora","low","ERG",47.5,3054,"terrestrial","pred_pursuit"
"Trichosurus_vulpecula","vert","mammalia","marsupial","low","Beh",22.4,3000,"arboreal","pred_forage"
"Ambystoma_tigrinum","vert","amphibian","amphibian","low","ERG",30,10.78,"terrestrial","pred_ballistic"
"Rana_clamitans","vert","amphibian","amphibian","low","ERG",21,60,"terrestrial","pred_ballistic"
"Bufo_marinus","vert","amphibian","amphibian","low","ERG",7,2500,"terrestrial","pred_ballistic"
"Poecilia_reticulata","vert","fish","fish","high","Beh",67,0.35,"pelagic","pred_forage"
"Oryzias_latipes","vert","fish","fish","low","ERG",37.2,0.21,"benthopelagic","pred_forage"
"Leuresthes_tenuis","vert","fish","fish","high","VEP",60,15,"pelagic","pred_ballistic"
"Mugil_cephalus","vert","fish","fish","high","VEP",100,1424,"pelagic","pred_forage"
"Paralichthys_dentatus","vert","fish","fish","high","ERG",52,12000,"demersal","pred_ballistic"
"Centropomus_undecimalis","vert","fish","fish","low","ERG",40,24300,"pelagic","pred_ballistic"
"Rachycentron_canadum","vert","fish","fish","high","ERG",65,68000,"demersal","pred_pursuit"
"Xiphias_gladius","vert","fish","fish","high","ERG",40,550000,"pelagic","pred_pursuit"
"Betta_splendens","vert","fish","fish","high","Beh",60,2.5,"benthopelagic","pred_ballistic"
"Thunnus_albacares","vert","fish","fish","high","ERG",80,45349,"pelagic","pred_pursuit"
"Thunnus_obesus","vert","fish","fish","low","ERG",37,210000,"pelagic","pred_pursuit"
"Lepidocybium_flavobrunneum","vert","fish","fish","low","ERG",9,4500,"pelagic","pred_ballistic"
"Pomatomus_saltatrix","vert","fish","fish","high","ERG",56,14400,"pelagic","pred_pursuit"
"Sebastolobus_altivelis","vert","fish","fish","low","VEP",10,200,"demersal","pred_forage"
"Paralabrax_nebulifer","vert","fish","fish","high","VEP",60,6000,"demersal","pred_ballistic"
"Centropristis_striata","vert","fish","fish","high","ERG",52,4300,"benthopelagic","pred_ballistic"
