Common_name ,Scientific_name ,taxa_group,taxa_phyla,taxa_class,Light_Level,Method,Mean_CFF_hz,Max_CFF_Hz,length_mm,Bodymass(g),Temp_max,Habitat,mode_of_life,mode_of-life_old,Eyes_removed,Notes,
Weakfish,Cynoscion_regalis,vert,fish,fish,low,ERG,,42,500,8900,22,demersal,pred_ballistic,predator?,,,
Leatherback,Dermochelys_coriacea,vert,reptile,turtle,high,ERG,,15,,354000,,pelagic,pred_forage,,,,
Fruit_fly,Drosophila_hydei,invert,arthropod,insect,low,ERG,80,100,,0.00102,,volant,scavenger,volant,,,
Shrimp,Eugonatonotus_crassus,invert,arthropod,crustacean,low,ERG,,24,,1.44,7,demersal,pred_forage,scavenger,yes,,
Euphausiid_shrimp,Euphausia_gibboides,invert,arthropod,crustacean,low,ERG,,32,,0.07,5,bathypelagic,pred_forage,scavenger,,,
Saker_falcon,Falco_cherrug,vert,aves,aves,high,Beh,93,,,700,,volant,pred_pursuit,,,,
Peregrine_falcon,Falco_peregrinus,vert,aves,aves,high,Beh,107,,,535,,volant,pred_pursuit,,,,
Peregrine_falcon,Falco_peregrinus,vert,aves,aves,high,Beh,108,,,535,,volant,pred_pursuit,,,,
Cat,Felis_domesticus,vert,mammalia,carnivora,low,ERG,,47.5,,3054,,terrestrial,pred_pursuit,predator/ depends if wild or not ,,,
Collared_flycatcher,Ficedula_albicollis,vert,aves,aves,high,Beh,128.1,141,,13,,volant,pred_pursuit,,,,
Pied_flycatcher,Ficedula_hypoleuca,vert,aves,aves,high,Beh,138.2,146,,13,,volant,pred_pursuit,,,,
Pandalid_shrimp,Funchalia_villosa,invert,arthropod,crustacean,low,ERG,,24,,0.0245,5,demersal,pred_ballistic,scavenger,no,,
Tiger_shark,Galeocerdo_cuvier,vert,elasmo,shark,low,ERG,,38,5000,807400,,benthopelagic,pred_ballistic,predator,,,
Chicken,Gallus_gallus_domesticus,vert,aves,aves,high,Beh,,87,,2710,,terrestrial,herbivore,,,,
deep_sea_crab,Gastroptychus_spinifer,invert,arthropod,crustacean,low,ERG,,10,,3.08,7,demersal,pred_forage,predator,Yes ,,
Gekko,Gekko_gekko,vert,reptile,reptile,low,ERG,,20,,54.8,29,arboreal,pred_ballistic,predator_insectivorous ,no,,
Tsetse_fly,Glossina_morsitans,invert,arthropod,insect,low,ERG,145,205,,0.009147,,volant,parasite,volant,,,
giant_isopod,Glyptonotus_antarcticus,invert,arthropod,crustacean,low,ERG,,12,,3.93,-1.9,demersal,scavenger,scavenger,NA,,
Puffadder_shyshark,Haploblepharus_edwardsii,vert,elasmo,shark,,ERG,,29,610,,,,pred_forage,,,need size,
Epaulette_shark,Hemiscyllium_ocellatum,vert,elasmo,shark,,ERG,,40,440,,,,predator,scavenger,,need size,
Deep_sea_shrimp,Heterocarpus_ensifer,invert,arthropod,crustacean,low,ERG,,16,,0.066,6,demersal,scavenger,scavenger,yes,hard to infer,
Horn_shark,Heterodontus_francisci,vert,elasmo,shark,low,VEP,,20,970,,14,demersal,pred_forage,scavenger,,,
Port_jackson_shark,Heterodontus_portusjacksoni,vert,elasmo,shark,,ERG,,28,390,,,,predator,predator,,need size,
Human,Homo_sapiens,vert,mammalia,primate,high,Beh,,60,,67100,,terrestrial,pred_forage,,,,
Iguana,Iguana_Iguana,vert,reptile,rodent,high,ERG,,80,,750,29,arboreal,pred_ballistic,scavenger,no,,
oplophorid_shrimp,Janicella_spinacauda,invert,arthropod,crustacean,low,ERG,,29,20,0.27,5,demersal,scavenger,scavenger,no,,
Rock_lobster,Jasus_edwardsii,invert,arthropod,crustacean,low,ERG,55,60,,226.4,,demersal,pred_forage,predator,,,
Pinfish,Lagodon_rhomboides,vert,fish,fish,high,ERG,,44,180,1500,25,demersal,pred_forage,scavenger,,,
river_lamprey,Lampetra_fluviatillis,vert,fish,fish,low,ERG,,24,350,150,10,demersal,parasite,predator/parasitic,,,
Spot,Leiostomus_xanthurus,vert,fish,fish,high,ERG,,55,250,450,22,demersal,pred_forage,scavenger,,,
escolar ,Lepidocybium_flavobrunneum,vert,fish,fish,low,ERG,,9,1500,,23,benthopelagic,pred_ballistic,marine ,,need size,
Little_skate,Leucoraja_erinacea,vert,elasmo,skate,low,ERG,17.5,30,375,,20,demersal,pred_forage,,,need size,
Grunion,Leuresthes_tenuis,vert,fish,fish,high,VEP,,60,190,,23,pelagic,pred_ballistic,predator,,strick at small prey,need size
common_isopod,Ligia_occidentalis,invert,arthropod,crustacean,high,ERG,105,120,30,1,,demersal,scavenger,,,guessed  size,
Migratory_locust,locusta_migratoria,invert,arthropod,insect,low,ERG,65,90,,1,,volant,herbivore,volant,,,
Grey_snapper,Lutjanus_griseus,vert,fish,fish,high,ERG,,47,400,,25,pelagic,pred_ballistic,,,"20000(max recorded weight , seems way off ",need size
wolf_spider,Lycosa_baltimoriana,invert,arthropod,spider,low,ERG,,10,,6.2,22,terrestrial,pred_ballistic,predator_oppertunistic,No,,
Pacific_cleaner_shrimp,Lysmata_amboinensis,invert,arthropod,crustacean,low,ERG,,42,,,24,marine_reef,scavenger,scavenger,,,
Rhesus_macaca,Macaca_mulatta,vert,mammalia,primate,high,Beh,,95,,7710,,terrestrial,herbivore,,,,
Jumping_spider,Maevia_inclemens,invert,arthropod,spider,high,ERG,,40,,0.0145,,terrestrial,pred_ballistic,oppertunistic_predator ,,,
Black_fire_beetle,Melanophila_acuminata,invert,arthropod,insect,high,ERG,,300,,0.02116,,volant,pred_forage,volant,,not sure about predator cant find info,
Budgie,Melopsittacus_undulatus,vert,aves,aves,high,Beh,,74.7,,33.6,,volant,herbivore,,,,
Atlantic_croaker,Micropogonias_undulatus,vert,fish,fish,high,ERG,,59,300,2600,22,demersal,pred_forage,scavenger,,,
Shortheaded_lamprey,Mordacia_Mordax,vert,fish,fish,low,ERG,37,39.6,,,24,benthopelagic,parasite,predator,,,
Precocious_lamprey,Mordacia_praecox,vert,fish,fish,low,ERG,,31.1,375,,24,benthopelagic,parasite,predator,,,
