CFF_reference,Critical_appraisal_keep,Critical_appraisal,Class,Spname_common,Spname_raw,Species_phylo,Spname_accepted,habitat,forage_light_level,mode_of_life,mode-of_life_ref,body_mass_us,body_mass_ref,Method_raw,Method,CFF_value_type,CFF_raw,CFF_variability,CFF_variability_type,CFF,CFF_max,Comments_from_2022,,,,,,,,,,,,
"Bostrom, Jannika E.; Haller, Nicola K.; Dimitrova, Marina; Odeen, Anders; Kelber, Almut 2017 The flicker fusion frequency of budgerigars (Melopsittacus undulatus) revisited The flicker fusion frequency of budgerigars (Melopsittacus undulatus) revisited Bostrom, Jannika E.; Haller, Nicola K.; Dimitrova, Marina; Odeen, Anders; Kelber, Almut",y,M,Aves,Budgerigar,Melopsittacus undulatus,Melopsittacus_undulatus,"Melopsittacus undulatus Shaw, 1805",volant,high,forage,Handbook_birds_of_the_world,29.05,amniote,Behavioural,Behavioural,range,77-93,Unknown,NA,85,93,range of individual values of CFF for each budgerigars; three birds had CFF at 3500 cd/m_ and one CFF at 93 Hz for 7200 cd/m_ so AL calculated a ponderated mean,,,,,,,,,,,,
"Bourque, Stephane L.; Kuny, Sharee; Reyes, Laura M.; Davidge, Sandra T.; Sauve, Yves 2013 Prenatal Hypoxia Is Associated with Long-Term Retinal Dysfunction in Rats Prenatal Hypoxia Is Associated with Long-Term Retinal Dysfunction in Rats Bourque, Stephane L.; Kuny, Sharee; Reyes, Laura M.; Davidge, Sandra T.; Sauve, Yves",y,M,Mammalia,Brown rat,Rattus norvegicus,Rattus_norvegicus,"Rattus norvegicus Berkenhout, 1769",terrestrial,low,forage,Handbook_of_mammals_of_the_world,280,amniote,ERG,Electrophysiology,mean,42,1,SE,42,42,mean,,,,,,,,,,,,
"Brill, Richard W.; Horodysky, Andrij Z.; Place, Allen R.; Larkin, Mary E. M.; Reimschuessel, Renate 2019 Effects of dietary taurine level on visual function in European sea bass (Dicentrarchus labrax) Effects of dietary taurine level on visual function in European sea bass (Dicentrarchus labrax) Brill, Richard W.; Horodysky, Andrij Z.; Place, Allen R.; Larkin, Mary E. M.; Reimschuessel, Renate",y,M,Actinopterygii,European bass,Dicentrarchus labrax,Dicentrarchus_labrax,"Dicentrarchus labrax Linnaeus, 1758",pelagic,high,ballistic,"Based on descriptions of diet Laffaille, P., Lefeuvre, J.C., Schricke, M.T. et al. Feeding ecology of o-group sea bass,Dicentrarchus labrax, in salt marshes of Mont Saint Michel Bay (France). Estuaries 24, 116–125 (2001). https://doi.org/10.2307/1352818",1430,fisebase_50cm common length,ERG,Electrophysiology,median,~116.9,Unknown,NA,117,154.6,diagram reading ; not maximal light intensity ; max: ~ 154.59 Hz and min at ~70.35 Hz,,,,,,,,,,,,
"BULLOCK, TH; BUDELMANN, BU 1991 SENSORY EVOKED-POTENTIALS IN UNANESTHETIZED UNRESTRAINED CUTTLEFISH - A NEW PREPARATION FOR BRAIN PHYSIOLOGY IN CEPHALOPODS SENSORY EVOKED-POTENTIALS IN UNANESTHETIZED UNRESTRAINED CUTTLEFISH - A NEW PREPARATION FOR BRAIN PHYSIOLOGY IN CEPHALOPODS BULLOCK, TH; BUDELMANN, BU",y,H,Cephalopoda,Common cuttlefish,Sepia officinalis,Sepia_officinalis,"Sepia officinalis Linnaeus, 1758",demersal,high,ballistic,Sealifebase,1014.782,Based_on_sealifebase_at20cm_and_b_2.78_and_a_0.2427,EEG_electroencephalogram_and_Visual_Evoked_Potentials_VEP,Electrophysiology,maximum,<30,Unknown,NA,30,30,lower fusion frequency ; always lower than 30 Hz : maximum value,,,,,,,,,,,,
"BULLOCK, TH; HOFMANN, MH; NEW, JG; NAHM, FK 1990 DYNAMIC PROPERTIES OF VISUAL EVOKED-POTENTIALS IN THE TECTUM OF CARTILAGINOUS AND BONY FISHES, WITH NEUROETHOLOGICAL IMPLICATIONS DYNAMIC PROPERTIES OF VISUAL EVOKED-POTENTIALS IN THE TECTUM OF CARTILAGINOUS AND BONY FISHES, WITH NEUROETHOLOGICAL IMPLICATIONS BULLOCK, TH; HOFMANN, MH; NEW, JG; NAHM, FK",y,M,Actinopterygii,Californian grunion,Leuresthes tenuis,Leuresthes_tenuis,"Leuresthes tenuis Ayres, 1860",pelagic,high,ballistic,"feeding_behavior_from_Higgins, B.A. and Horn, M.H. (2014), Suction among pickers: jaw mechanics, dietary breadth and feeding behaviour in beach-spawning Leuresthes spp. compared with their relatives. J Fish Biol, 84: 1689-1707. https://doi.org/10.1111/jfb.12385",17.57333,"Mass_based _on_mean_from_Johnson, P.B., Martin, K.L., Vandergon, T.L., Honeycutt, R.L., Burton, R.S. and Fry, A., 2009. Microsatellite and mitochondrial genetic comparisons between northern and southern populations of California grunion (Leuresthes tenuis). Copeia, 2009(3), pp.465-474.",ERG,Electrophysiology,minimum,> 60,Unknown,NA,60,60,individual lower fusion frequency (not averaged),,,,,,,,,,,,
"BULLOCK, TH; HOFMANN, MH; NEW, JG; NAHM, FK 1990 DYNAMIC PROPERTIES OF VISUAL EVOKED-POTENTIALS IN THE TECTUM OF CARTILAGINOUS AND BONY FISHES, WITH NEUROETHOLOGICAL IMPLICATIONS DYNAMIC PROPERTIES OF VISUAL EVOKED-POTENTIALS IN THE TECTUM OF CARTILAGINOUS AND BONY FISHES, WITH NEUROETHOLOGICAL IMPLICATIONS BULLOCK, TH; HOFMANN, MH; NEW, JG; NAHM, FK",y,M,Actinopterygii,Grey mullet,Mugil cephalus,Mugil_cephalus,"Mugil cephalus Linnaeus, 1758",pelagic,high,forage,"Jamabo, N.A. and Maduako, N.C., 2015. Food and feeding habits of Mugil cephalus (linnaeus, 1758) in elechi creek, Niger delta, Nigeria. International Journal of Fisheries and Aquaculture, 7(3), pp.25-29.",1424,"Jamabo, N.A. and Maduako, N.C., 2015. Food and feeding habits of Mugil cephalus (linnaeus, 1758) in elechi creek, Niger delta, Nigeria. International Journal of Fisheries and Aquaculture, 7(3), pp.25-29.",ERG,Electrophysiology,minimum,> 100,Unknown,NA,100,100,individual lower fusion frequency (not averaged),,,,,,,,,,,,
"BULLOCK, TH; HOFMANN, MH; NEW, JG; NAHM, FK 1990 DYNAMIC PROPERTIES OF VISUAL EVOKED-POTENTIALS IN THE TECTUM OF CARTILAGINOUS AND BONY FISHES, WITH NEUROETHOLOGICAL IMPLICATIONS DYNAMIC PROPERTIES OF VISUAL EVOKED-POTENTIALS IN THE TECTUM OF CARTILAGINOUS AND BONY FISHES, WITH NEUROETHOLOGICAL IMPLICATIONS BULLOCK, TH; HOFMANN, MH; NEW, JG; NAHM, FK",y,M,Actinopterygii,Barred sand bass,Paralabrax nebulifer,Paralabrax_nebulifer,"Paralabrax nebulifer Girard, 1854",demersal,high,ballistic,fishebase,6000,Based_on_single_entry_of_6kg_on_fishbase,ERG,Electrophysiology,minimum,>50,Unknown,NA,50,50,individual lower fusion frequency (not averaged),,,,,,,,,,,,
"BULLOCK, TH; HOFMANN, MH; NEW, JG; NAHM, FK 1990 DYNAMIC PROPERTIES OF VISUAL EVOKED-POTENTIALS IN THE TECTUM OF CARTILAGINOUS AND BONY FISHES, WITH NEUROETHOLOGICAL IMPLICATIONS DYNAMIC PROPERTIES OF VISUAL EVOKED-POTENTIALS IN THE TECTUM OF CARTILAGINOUS AND BONY FISHES, WITH NEUROETHOLOGICAL IMPLICATIONS BULLOCK, TH; HOFMANN, MH; NEW, JG; NAHM, FK",y,M,Elasmobranchii,Thornback ray,Platyrhinoidis triseriata,Platyrhinoidis_triseriata,"Platyrhinoidis triseriata Jordan & Gilbert, 1880",demersal,low,forage,fishebase,2676,needs ref,ERG,Electrophysiology,range,30-60,Unknown,NA,45,60,"range of individual lower fusion frequency (not averaged) ; (""equivalent to the critical flicker frequency (CFF)"") ; more accurate determination not satisfactory ",,,,,,,,,,,,
"BULLOCK, TH; HOFMANN, MH; NEW, JG; NAHM, FK 1990 DYNAMIC PROPERTIES OF VISUAL EVOKED-POTENTIALS IN THE TECTUM OF CARTILAGINOUS AND BONY FISHES, WITH NEUROETHOLOGICAL IMPLICATIONS DYNAMIC PROPERTIES OF VISUAL EVOKED-POTENTIALS IN THE TECTUM OF CARTILAGINOUS AND BONY FISHES, WITH NEUROETHOLOGICAL IMPLICATIONS BULLOCK, TH; HOFMANN, MH; NEW, JG; NAHM, FK",y,M,Elasmobranchii,Shovelnose guitarfish,Rhinobatos productus,Rhinobatos_productus,"Pseudobatos productus Ayres, 1854",demersal,low,forage,fishebase,9800,needs ref,ERG,Electrophysiology,maximum,<30,Unknown,NA,30,30,individual lower fusion frequency (not averaged),,,,,,,,,,,,
"BULLOCK, TH; HOFMANN, MH; NEW, JG; NAHM, FK 1990 DYNAMIC PROPERTIES OF VISUAL EVOKED-POTENTIALS IN THE TECTUM OF CARTILAGINOUS AND BONY FISHES, WITH NEUROETHOLOGICAL IMPLICATIONS DYNAMIC PROPERTIES OF VISUAL EVOKED-POTENTIALS IN THE TECTUM OF CARTILAGINOUS AND BONY FISHES, WITH NEUROETHOLOGICAL IMPLICATIONS BULLOCK, TH; HOFMANN, MH; NEW, JG; NAHM, FK",y,M,Actinopterygii,Longspine thornyhead,Sebastolobus altivelis,Sebastolobus_altivelis,"Sebastolobus altivelis Gilbert, 1896",demersal,low,forage,feeds on brittlestars from COSEWIC 2007. COSEWIC assessment and status report on the longspine thornyhead Sebastolobus altivelis in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. vi + 27 pp. (www.sararegistry.gc.ca/status/status_e.cfm),104,"mean from Vetter, R.D. and Lynn, E.A., 1997. Bathymetric demography, enzyme activity patterns, and bioenergetics of deep-living scorpaenid fishes (genera Sebastes and Sebastolobus): paradigms revisited. Marine Ecology Progress Series, 155, pp.173-188.",ERG,Electrophysiology,Unknown,~10,Unknown,NA,10,10,"individual lower fusion frequency (not averaged); ""deep water""",,,,,,,,,,,,
