CFF_reference,Critical_appraisal_keep,Critical_appraisal,Class,Spname_common,Spname_raw,Species_phylo,Spname_accepted,habitat,forage_light_level,mode_of_life,mode-of_life_ref,body_mass_us,body_mass_ref,Method_raw,Method,CFF_value_type,CFF_raw,CFF_variability,CFF_variability_type,CFF,CFF_max,Comments_from_2022,,,,,,,,,,,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,M,Insecta,Common emigrant,Catopsilia pomona,Catopsilia_pomona_pomona,"Catopsilia pomona Fabricius, 1775",volant,high,forage,,0.1,,ERG,Electrophysiology,mean,154.5,36.1,SE,154.5,180,mean and SE from AL;  129-180 Hz range of individual values ; no illuminance trial,,,,,,,,,,,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,M,Insecta,Mottled Emigrant,Catopsilia pyranthe,Catopsilia_pyranthe_pyranthe,"Catopsilia pyranthe Linnaeus, 1758",volant,high,forage,,0.1,,ERG,Electrophysiology,mean,181.5,15.5,SE,181.5,194,mean and SE from AL;  159-194 Hz range of individual values ; no illuminance trial,,,,,,,,,,,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,E,Insecta,Indian wanderer,Pareronia hippia,Pareronia_ceylanica,"Pareronia valeria Cramer, 1776",volant,high,forage,,0.1,,ERG,Electrophysiology,NA,113.25,NA,NA,NA,113.25,individual values ; no illuminance trial,,,,,,,,,,,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,E,Insecta,common Jezebel,Delias eucharis,Delias_eucharis,"Delias eucharis Drury, 1773",volant,high,forage,,0.1,,ERG,Electrophysiology,NA,140.4,NA,NA,NA,140.4,individual values ; no illuminance trial,,,,,,,,,,,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,E,Insecta,NA,Agrius convolvuli,Agrius_convolvuli,"Agrius convolvuli Linnaeus, 1758",volant,low,forage,,0.1,,ERG,Electrophysiology,NA,174.8,NA,NA,NA,174.8,individual values ; no illuminance trial,,,,,,,,,,,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,E,Insecta,coffee bee hawkmoth,Cephonodes hylas,Cephonodes_hylas_virescens,"Cephonodes hylas Linnaeus, 1771",volant,low,forage,,0.1,,ERG,Electrophysiology,NA,105,NA,NA,NA,105,individual values ; no illuminance trial,,,,,,,,,,,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,E,Insecta,Acherontia styx,Acherontia styx,Acherontia_styx_medusa,"Acherontia styx Westwood, 1844",volant,low,forage,,0.1,,ERG,Electrophysiology,NA,106.5,NA,NA,NA,106.5,individual values ; no illuminance trial,,,,,,,,,,,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,E,Insecta,plain grey hawkmoth,Psilogramma increta,Psilogramma_increta,"Psilogramma increta Walker, 1864",volant,low,forage,,0.1,,ERG,Electrophysiology,NA,171,NA,NA,NA,171,individual values ; no illuminance trial,,,,,,,,,,,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,E,Insecta,NA,Udaspes folus,Udaspes_folus,"Udaspes folus Cramer, 1775",volant,high,forage,,0.1,,ERG,Electrophysiology,NA,126,NA,NA,NA,126,individual values ; no illuminance trial,,,,,,,,,,,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,E,Insecta,NA,Eudocima materna,Eudocima_materna,"Eudocima materna Linnaeus, 1767",volant,low,forage,,0.1,,ERG,Electrophysiology,NA,139,NA,NA,NA,139,individual values ; no illuminance trial,,,,,,,,,,,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,M,Insecta,African monarch,Danaus chrysippus,Danaus_chrysippus_chrysippus,"Danaus chrysippus Linnaeus, 1758",volant,high,forage,,0.1,,ERG,Electrophysiology,mean,187.5,33.2,SE,187.5,211,mean and SE from AL;  164-211 Hz range of individual values ; no illuminance trial,,,,,,,,,,,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,M,Insecta,Army green moth,Daphnis nerii,Daphnis_nerii,"Daphnis nerii Linnaeus, 1758",volant,low,forage,,0.1,,ERG,Electrophysiology,mean,113.3,2.5,SE,113.3,116,mean and SE from AL;  110-116 Hz range of individual values ; no illuminance trial,,,,,,,,,,,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,M,Insecta,Common owl-moth,Erebus macrops,Erebus_macrops,"Eupatula macrops Linnaeus, 1768",volant,low,forage,,0.1,,ERG,Electrophysiology,mean,106.5,4.9,SE,106.5,110,mean and SE from AL;  103-110 Hz range of individual values ; no illuminance trial,,,,,,,,,,,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,M,Insecta,Giant redeye,Gangara thyrsis,Gangara_thyrsis,"Gangara thyrsis Fabricius, 1775",volant,low,forage,,0.1,,ERG,Electrophysiology,mean,155.7,15,SE,155.7,173,mean and SEfrom AL;  146-173 Hz range of individual values ; no illuminance trial,,,,,,,,,,,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,M,Insecta,Common banded awl,Hasora chromus,Hasora_chromus_chromus,"Hasora chromus Cramer, 1780",volant,low,forage,,0.1,,ERG,Electrophysiology,mean,147.3,2.1,SE,147.3,149,mean and SE from AL; 145-149  Hz range of individual values ; no illuminance trial,,,,,,,,,,,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,M,Insecta,NA,Hippotion sp,Hippotion_irregularis,"Hippotion sp. Hübner, 1819",volant,low,forage,,0.1,,ERG,Electrophysiology,mean,126,28.3,SE,126,146,mean and SE from AL;  106-146 Hz range of individual values ; no illuminance trial,,,,,,,,,,,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,M,Insecta,Common Eggfly,Hypolimnas bolina,Hypolimnas_bolina_jacintha,"Hypolimnas bolina Linnaeus, 1758",volant,high,forage,,0.1,,ERG,Electrophysiology,mean,182,24,SE,182,199,mean and SE from AL; 165-199 Hz range of individual values ; no illuminance trial,,,,,,,,,,,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,M,Insecta,NA,Macroglosssum sp,Macroglossum_limata,"Macroglossum sp. Scopoli, 1777",volant,high,forage,,0.1,,ERG,Electrophysiology,mean,140.4,28.4,SE,140.4,182,mean and SE from AL;  110-182 Hz range of individual values ; no illuminance trial,,,,,,,,,,,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,M,Insecta,Common evening brown,Melanitis leda,Melanitis_leda_leda,"Melanitis leda Linnaeus, 1758",volant,low,forage,,0.1,,ERG,Electrophysiology,mean,200.9,13.1,SE,200.9,230,mean and SE from AL;  192-230 Hz range of individual values ; no illuminance trial,,,,,,,,,,,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,M,Insecta,Lime butterfly,Papilio demoleus,Papilio_demoleus_demoleus,"Papilio demoleus Linnaeus, 1758",volant,high,forage,,0.1,,ERG,Electrophysiology,mean,105,7.6,SE,105,110,mean and SE from AL; 90-110 Hz range of individual values ; no illuminance trial,,,,,,,,,,,,
"Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P. 2020 Evolutionary constraints on flicker fusion frequency in Lepidoptera Evolutionary constraints on flicker fusion frequency in Lepidoptera Chatterjee, Payel; Mohan, Umesh; Krishnan, Anand; Sane, Sanjay P.",y,M,Insecta,Common mormon,Papilio polytes,Papilio_polytes_polytes,"Papilio polytes Linnaeus, 1758",volant,high,forage,,0.1,,ERG,Electrophysiology,mean,174.8,47.3,SE,174.8,240,mean and SE from AL;  127-240 Hz range of individual values ; no illuminance trial,,,,,,,,,,,,
"Chung, Wen-Sung; Marshall, N. Justin; Watson, Sue-Ann; Munday, Philip L.; Nilsson, Goran E. 2014 Ocean acidification slows retinal function in a damselfish through interference with GABA(A) receptors Ocean acidification slows retinal function in a damselfish through interference with GABA(A) receptors Chung, Wen-Sung; Marshall, N. Justin; Watson, Sue-Ann; Munday, Philip L.; Nilsson, Goran E.",y,H,Actinopterygii,Spiny chromis,Acanthochromis polyacanthus,Acanthochromis_polyacanthus,"Acanthochromis polyacanthus Bleeker, 1855",pelagic,high,forage,based_on_food_items_fishbase,173.91,fishbase_common_16cm size,ERG,Electrophysiology,mean,89,1.6,SE,89,90.6,"mean (89.0±1.6 Hz); ""weell lit environment""",,,,,,,,,,,,
"Cohen, Jonathan H.; Frank, Tamara M. 2006 Visual physiology of the Antarctic amphipod Abyssorchomene plebs Visual physiology of the Antarctic amphipod Abyssorchomene plebs Cohen, Jonathan H.; Frank, Tamara M.",y,M,Malacostraca,NA,Abyssorchomene plebs,Abyssorchomene_plebs,"Pseudorchomene plebs Hurley, 1965",demersal,low,forage,scavenger_from _description_in_Cohen_and_Frank 200_ (Visual Physiology of the Antarctic Amphipod Abyssorchomene plebs),0.1,Based_on_length_of_1.47_cm_from_Cohen_and_Frank 200_ (Visual Physiology of the Antarctic Amphipod Abyssorchomene plebs),ERG,Electrophysiology,mean,15,0.58,SE,15,15.6,"scotopic: at 7°C, but 11,7 Hz at 3°C ; mean values : highest CFF values; ""deep sea""; ca. 0.2 relaive irradiance",,,,,,,,,,,,
"Coile, C.; Politz, C. H.; Smith, J. C. 1989 Behavioral Determination of Critical Flicker Fusion in Dogs Behavioral Determination of Critical Flicker Fusion in Dogs Coile, C.; Politz, C. H.; Smith, J. C.",y,M,Mammalia,Domestic dog,Canis_lupus,Canis_lupus,"Canis lupus subsp. familiaris Linnaeus, 1758",terrestrial,high,pursuit,Handbook_of_mammals_of_the_world,13900,"Coile DC, Pollitz CH, Smith JC (1989) Behavioral determination of critical flicker fusion in dogs. Physiol Behav 45: 1087–1092.",Behavioural,Behavioural,range,~73.2-94.1,Unknown,NA,84,94,diagram reading (Fig. 4.) at maximum 1206 cd/m_ intensity,,,,,,,,,,,,
"CROGNALE, MA; JACOBS, GH 1991 BEHAVIORAL AND ELECTROPHYSIOLOGICAL SENSITIVITY TO TEMPORALLY MODULATED VISUAL-STIMULI IN THE GROUND-SQUIRREL BEHAVIORAL AND ELECTROPHYSIOLOGICAL SENSITIVITY TO TEMPORALLY MODULATED VISUAL-STIMULI IN THE GROUND-SQUIRREL CROGNALE, MA; JACOBS, GH",y,E,Mammalia,Californian ground squirrel,Spermophilus beecheyi,Spermophilus_beecheyi,"Otospermophilus beecheyi Richardson, 1830",terrestrial,high,forage,Handbook_of_mammals_of_the_world,599.6,amniote,ERG,Electrophysiology,minimum,>50,NA,NA,50,50,diagram reading; still responses at 50 Hz (maximum tested),,,,,,,,,,,,
"CROGNALE, MA; JACOBS, GH 1991 BEHAVIORAL AND ELECTROPHYSIOLOGICAL SENSITIVITY TO TEMPORALLY MODULATED VISUAL-STIMULI IN THE GROUND-SQUIRREL BEHAVIORAL AND ELECTROPHYSIOLOGICAL SENSITIVITY TO TEMPORALLY MODULATED VISUAL-STIMULI IN THE GROUND-SQUIRREL CROGNALE, MA; JACOBS, GH",y,M,Mammalia,Californian ground squirrel,Spermophilus beecheyi,Spermophilus_beecheyi,"Otospermophilus beecheyi Richardson, 1829",terrestrial,high,forage,Handbook_of_mammals_of_the_world,599.6,amniote,Behavioural,Behavioural,minimum,>50,Unknown,NA,50,50,diagram reading; still responses at 50 Hz (maximum tested),,,,,,,,,,,,
"Crozier, W. J.; Wolf, E. 1944 Flicker response contours for the sparrow, and the theory of the avian pecten Flicker response contours for the sparrow, and the theory of the avian pecten Crozier, W. J.; Wolf, E.",y,M,Aves,House sparrow,Passer domesticus,Passer_domesticus,"Passer domesticus Linnaeus, 1758",volant,high,forage,Handbook_of_birds_of_the_world,27.7,amniote,Optomotor,Behavioural,mean,55,Unknown,NA,55,55,range of mean value at maximum intensity tested (for different 'tl'?),,,,,,,,,,,,
"Crozier, W. J.; Wolf, E. 1941 The flicker response contour for Phrynosoma (horned lizard; cone retina) The flicker response contour for Phrynosoma (horned lizard; cone retina) Crozier, W. J.; Wolf, E.",y,M,Reptilia,Horned lizard,Pkrynosoma cornutum,Phrynosoma_cornutum,"Phrynosoma cornutum Harlan, 1825",terrestrial,high,ballistic,"Eifler, D.A., Eifler, M.A. and Brown, T.K., 2012. Habitat selection by foraging Texas horned lizards, Phrynosoma cornutum. The Southwestern Naturalist, 57(1), pp.39-43.",27.335,amniote,Optomotor,Behavioural,mean,42,Unknown,NA,42,42,mean value at maximum intensity tested,,,,,,,,,,,,
"Crozier, W. J.; Wolf, E. 1939 The flicker response contour for the gecko (rod retina) The flicker response contour for the gecko (rod retina) Crozier, W. J.; Wolf, E.",y,M,Reptilia,Inagua least gecko,Sphaerodactylus inaguae,Sphaerodactylus_gaigeae,"Sphaerodactylus inaguae Noble, 1932",terrestrial,low,ballistic,"Based on genus description from Persaud, D., Werner, N. and Werner, Y.L., 2003. Foraging behaviour of three sphaerodactylin geckos on Trinidad and Tobago (Sauria: Gekkonomorpha: Sphaerodactylini: Gonatodes). Journal of Natural History, 37(14), pp.1765-1777.",0.53,based on genus mean from Amniote,Optomotor,Behavioural,mean,25.09,Unknown,NA,25.1,25.1,"mean value at maximum intensity tested of 2.25 log I; at ca. 0.0002 millilambert, curve change",,,,,,,,,,,,
"Crozier, W. J.; Wolf, E. 1941 The simplex flicker threshold contour for the zebra finch The simplex flicker threshold contour for the zebra finch Crozier, W. J.; Wolf, E.",y,M,Aves,Zebra Finch,Taeniopygia guttata,Taeniopygia_guttata,"Taeniopygia guttata Vieillot, 1817",volant,high,forage,Handbook_of_birds_of_the_world,11.93333333,amniote,Optomotor,Behavioural,mean,55,Unknown,NA,55,55,highest intensity mean value,,,,,,,,,,,,
"de Haan, Roel; Lee, Yu-Jen; Nordstrom, Karin 2013 Novel Flicker-Sensitive Visual Circuit Neurons Inhibited by Stationary Patterns Novel Flicker-Sensitive Visual Circuit Neurons Inhibited by Stationary Patterns de Haan, Roel; Lee, Yu-Jen; Nordstrom, Karin",y,M,Insecta,Drone fly,Eristalis sp,Eristalis_aeneus,"Eristalis sp. Latreille, 1804",volant,high,forage,,0.001,guessed_mass,EEG on cSIFE neurons,Electrophysiology,minimum,> 40,Unknown,NA,40,40,above range of measurements; respond strongly at 40 Hz,,,This is suspeciously low it might not be the best critarea to keep as its just one specific part of the eye and not the entire visual response,,,,,,,,,
"Delius, Juan D.; Delius, Julia A. M.; Lee, Jennifer M. 2017 Symmetry recognition by pigeons: Generalized or not? Symmetry recognition by pigeons: Generalized or not? Delius, Juan D.; Delius, Julia A. M.; Lee, Jennifer M.",y,M,Aves,Common pigeon,Columba livia,Columba_livia,"Columba livia J.F.Gmelin, 1789",volant,high,forage,Handbook_birds_of_the_world,320,amniote,Behavioural,Behavioural,mean,70,Unknown,NA,70,74,for each peak wavelength average and range in parenthesis ; 810 nm: 38 (34–42) Hz; 660 nm: 59 (57–63) Hz; 565 nm: 73 (70–74) Hz; 470 nm: 52 (48–57) Hz; 375 nm:63 (58–65) Hz,,,This seems to have a very low result for humans,,,,,,,,,
"Dodt, E.; Wirth, A.  1953 Differentiation between rods and cones by flicker electroretinography in pigeon and guinea pig Differentiation between rods and cones by flicker electroretinography in pigeon and guinea pig Dodt, E.; Wirth, A. ",y,H,Mammalia,Guinea Pig,Cavia aperea f. porcellus,Cavia_porcellus,"Cavia porcellus Linnaeus, 1758",terrestrial,low,forage,Handbook_of_mammals_of_the_world,629,amniote,ERG,Electrophysiology,range,45-50,Unknown,NA,47.5,50,at maximum light intensity of 5000 lux,,,,,,,,,,,,
"Dodt, E.; Wirth, A.  1953 Differentiation between rods and cones by flicker electroretinography in pigeon and guinea pig Differentiation between rods and cones by flicker electroretinography in pigeon and guinea pig Dodt, E.; Wirth, A. ",y,H,Aves,Common pigeon,Columbia livia,Columba_livia,"Columba livia J.F.Gmelin, 1789",volant,high,forage,Handbook_of_birds_of_the_world,320,amniote,ERG,Electrophysiology,Unknown,143,Unknown,NA,143,143,at maximum light intensity of 8000 lux; from total range of 3-143 Hz,,,,,,,,,,,,
"Dreyfert, T; Holmberg, Kaj; Struwe, G 1979 Critical flicker fusion frequency of the river lamprey (Lampetra fluviatilis). Critical flicker fusion frequency of the river lamprey (Lampetra fluviatilis). Dreyfert, T; Holmberg, Kaj; Struwe, G",y,M,Cephalaspidomorphi,River Lamprey,Lampetra fluviatilis,Lampetra_fluviatilis,"Lampetra fluviatilis Linnaeus, 1758",demersal,low,forage,fishebase,54,fishbase_conversion_from 32cm,ERG,Electrophysiology,mean,24,Unknown,NA,24,31.1,18.2-31.1 Hz range of maximal CFF at highest light intensities,,,,,,,,,,,,
"Eichorn, Courtney; Hrabar, Michael; Van Ryn, Emma C.; Brodie, Bekka S.; Blake, Adam J.; Gries, Gerhard 2017 How flies are flirting on the fly How flies are flirting on the fly Eichorn, Courtney; Hrabar, Michael; Van Ryn, Emma C.; Brodie, Bekka S.; Blake, Adam J.; Gries, Gerhard",y,M,Insecta,Common green bottle fly,Lucilia sericata,Lucilia_sericata,"Lucilia sericata Meigen, 1826",volant,high,forage,based_on_Chrysomya_megacephala,0.0092,based_on_Chrysomya_megacephala,Behavioural,Behavioural,minimum,> 250,Unknown,NA,250,290,fly temporal encoding ability amply sufficient to distinguish 250 Hz ; even choice at 290 Hz,,,,,,,,,,,,
"Ezra-Elia, Raaya; Banin, Eyal; Honig, Hen; Rosov, Alexander; Obolensky, Alexey; Averbukh, Edward; Hauswirth, William W.; Gootwine, Elisha; Ofri, Ron 2014 Flicker cone function in normal and day blind sheep: a large animal model for human achromatopsia caused by CNGA3 mutation Flicker cone function in normal and day blind sheep: a large animal model for human achromatopsia caused by CNGA3 mutation Ezra-Elia, Raaya; Banin, Eyal; Honig, Hen; Rosov, Alexander; Obolensky, Alexey; Averbukh, Edward; Hauswirth, William W.; Gootwine, Elisha; Ofri, Ron",y,M,Mammalia,Sheep,Ovis aries,Ovis_aries,"Ovis aries Linnaeus, 1758",terrestrial,high,forage,Handbook_of_mammals_of_the_world,110000,amniote,ERG,Electrophysiology,minimum,> 80,Unknown,NA,80,80,still detectable at maximum frequency tested of 80 Hz; maximum 10 cd/m_ luminance,,,,,,,,,,,,
"Fenk, Lisa M.; Schmid, Axel 2011 Flicker-induced eye movements and the behavioural temporal cut-off frequency in a nocturnal spider Flicker-induced eye movements and the behavioural temporal cut-off frequency in a nocturnal spider Fenk, Lisa M.; Schmid, Axel",y,M,Arachnida,Tiger wandering spider,Cupiennius salei,Cupiennius_salei,"Cupiennius salei Keyserling, 1877",arboreal,low,ballistic,"Based on description in Malli, H., Kuhn-Nentwig, L., Imboden, H. and Nentwig, W., 1999. Effects of size, motility and paralysation time of prey on the quantity of venom injected by the hunting spider Cupiennius salei. Journal of Experimental Biology, 202(15), pp.2083-2089.",3.75,"mass from The influence of hunger and breeding temperature on the venom production of the spider Cupiennius salei (Araneae, Ctenidae)",Eye muscle electrical signal reading,Electrophysiology,range,4.3 - 8.6,Unknown,NA,6.45,8.6,"between 4.3 and 8.6 Hz; still responses at 8,3 cycles.s-1 ; ""We measured a luminosity of 56.0±0.5cdm–2 for the bright squares, 2.15±0.05 cdm–2 for the dark squares and 28.0±0.5cdm–2 for the checkerboard pattern (Luminance Meter, LS100, Konica Minolta, Tokyo, Japan).""",,,,,,,,,,,,
"Ferrez, PW; Chamot, SR; Petrig, BL; Pournaras, CJ; Riva, CR 2004 Effect of visual stimulation on blood oxygenation in the optic nerve head of miniature pigs: A pilot study Effect of visual stimulation on blood oxygenation in the optic nerve head of miniature pigs: A pilot study Ferrez, PW; Chamot, SR; Petrig, BL; Pournaras, CJ; Riva, CR",n,H,Mammalia,Wild boar,Sus domesticus,Sus_scrofa,"Sus scrofa Linnaeus, 1758",terrestrial,high,forage,Handbook_of_mammals_of_the_world,135000,amniote,Physiological,Electrophysiology,minimum,50,Unknown,NA,50,50,pO2 levels still significant at 50 Hz but maximum at 15 Hz (not significant at 80 Hz),,,,,,,,,,,,
"Fleishman, L. J.; Marshall, C. J.; Hertz E. H. 1997 Comparative Study of Temporal Response Properties of the Visual System of Three Species of Anoline Lizards Comparative Study of Temporal Response Properties of the Visual System of Three Species of Anoline Lizards Fleishman, L. J.; Marshall, C. J.; Hertz E. H.",y,L,Reptilia,Anole lizards,Anolis cristatellus,Anolis_cristatellus,"Anolis cristatellus Duméril & Bibron, 1837",arboreal,high,ballistic,Handbook_of_lizards_of_the_world,8.4,amniote,ERG,Electrophysiology,extrapolation,70,Unknown,NA,70,70,estimation of CFF (higher than maximum frequency tested) at highest light intensity tested ,,,,,,,,,,,,
"Fleishman, L. J.; Marshall, C. J.; Hertz E. H. 1996 Comparative Study of Temporal Response Properties of the Visual System of Three Species of Anoline Lizards Comparative Study of Temporal Response Properties of the Visual System of Three Species of Anoline Lizards Fleishman, L. J.; Marshall, C. J.; Hertz E. H.",y,L,Reptilia,Anole lizards,Anolis gundlachi,Anolis_gundlachi,"Anolis gundlachi Peters, 1877",arboreal,high,ballistic,Handbook_of_lizards_of_the_world,6.9,amniote,ERG,Electrophysiology,extrapolation,55,Unknown,NA,55,55,estimation of CFF (higher than maximum frequency tested) at highest light intensity tested ,,,,,,,,,,,,
"Fleishman, L. J.; Marshall, C. J.; Hertz E. H. 1995 Comparative Study of Temporal Response Properties of the Visual System of Three Species of Anoline Lizards Comparative Study of Temporal Response Properties of the Visual System of Three Species of Anoline Lizards Fleishman, L. J.; Marshall, C. J.; Hertz E. H.",y,L,Reptilia,Anole lizards,Anolis pulchellus,Anolis_pulchellus,"Anolis pulchellus Duméril & Bibron, 1837",arboreal,high,ballistic,Handbook_of_lizards_of_the_world,1.6,amniote,ERG,Electrophysiology,extrapolation,63,Unknown,NA,63,63,estimation of CFF (higher than maximum frequency tested) at highest light intensity tested ,,,,,,,,,,,,
"Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W. 2012 Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W.",y,M,Malacostraca,NA,Booralana tricarinata,Booralana_tricarinata,"Booralana tricarinata Camp & Heard, 1988",demersal,low,forage,"Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W. 2012 Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Light and vision in the deep-sea benthos: II. Vision in deep-sea crustaceans Frank, Tamara M.; Johnsen, Soenke; Cronin, Thomas W.",4.6,Body mass from Wilson et al 2017 (Activity syndromes and metabolism in giant deep-sea isopods).,ERG,Electrophysiology,mean,4,1,NA,4,5,"mean ; scotopic; ""deep-sea"" considered as Low light exposure",,,,,,,,,,,,
