,taxa_group,taxa_phyla,taxa_class,Light_Level_old,Light_Level,Method,Max_CFF_Hz,Bodymass.g.,Habitat,mode_of_life,animal
Felis_silvestris,vert,mammalia,carnivora,low,low,ERG,47.5,3054,terrestrial,pred_pursuit,Felis_silvestris
Nematoscelis_megalops,invert,arthropod,crustacean,low,low,ERG,48,0.066,bathypelagic,pred_ballistic,Nematoscelis_megalops
Tautoga_onitis,vert,fish,fish,high,high,ERG,48,11300,marine_reef,pred_forage,Tautoga_onitis
Nematobrachion_boopis,invert,arthropod,crustacean,low,low,ERG,50,0.072,bathypelagic,pred_ballistic,Nematobrachion_boopis
Cavia_porcellus,vert,mammalia,rodent,low,low,ERG,50,629,terrestrial,herbivore,Cavia_porcellus
Paralichthys_dentatus,vert,fish,fish,high,low,ERG,52,12000,demersal,pred_ballistic,Paralichthys_dentatus
Centropristis_striata,vert,fish,fish,high,low,ERG,52,4300,benthopelagic,pred_ballistic,Centropristis_striata
Nematobrachion_sexspinosum,invert,arthropod,crustacean,low,low,ERG,54,0.13,bathypelagic,pred_ballistic,Nematobrachion_sexspinosum
Sciaenops_ocellatus,vert,fish,fish,high,high,ERG,54,45000,demersal,pred_ballistic,Sciaenops_ocellatus
Carcharhinus_plumbeus,vert,elasmo,shark,high,high,ERG,54,4700,benthopelagic,pred_ballistic,Carcharhinus_plumbeus
Leiostomus_xanthurus,vert,fish,fish,high,high,ERG,55,450,demersal,pred_forage,Leiostomus_xanthurus
Sphenodon_punctatus,vert,reptile,reptile,low,low,Beh,55.4,353.75,terrestrial,herbivore,Sphenodon_punctatus
Cambarus_diogenes,invert,arthropod,crustacean,low,low,ERG,56,29,demersal,pred_forage,Cambarus_diogenes
Pagurus_bernhardus,invert,arthropod,crustacean,high,low,ERG,56,7.3,demersal,pred_forage,Pagurus_bernhardus
Pomatomus_saltatrix,vert,fish,fish,high,high,ERG,56,14400,pelagic,pred_pursuit,Pomatomus_saltatrix
Anolis_cristatellus,vert,reptile,reptile,high,high,ERG,58.5,6,arboreal,pred_ballistic,Anolis_cristatellus
