"","taxa_group","taxa_phyla","taxa_class","Light_Level","Method","Max_CFF_Hz","Bodymass.g.","Habitat","mode_of_life","animal"
"Gekko_gecko","vert","reptile","reptile","low","ERG",20,54.8,"arboreal","pred_ballistic","Gekko_gecko"
"Iguana_iguana","vert","reptile","rodent","high","ERG",80,750,"arboreal","pred_ballistic","Iguana_iguana"
"Anolis_carolinensis","vert","reptile","reptile","high","ERG",36,6,"arboreal","pred_ballistic","Anolis_carolinensis"
"Anolis_cristatellus","vert","reptile","reptile","high","ERG",58.5,6,"arboreal","pred_ballistic","Anolis_cristatellus"
"Anolis_sagrei","vert","reptile","reptile","high","ERG",35,8,"arboreal","pred_ballistic","Anolis_sagrei"
"Anolis_valencienni","vert","reptile","reptile","high","ERG",33.4,4,"arboreal","pred_ballistic","Anolis_valencienni"
"Anolis_limifrons","vert","reptile","reptile","high","ERG",29,1.006,"arboreal","pred_ballistic","Anolis_limifrons"
"Rattus_norvegicus","vert","mammalia","rodent","low","ERG",39,237,"terrestrial","pred_forage","Rattus_norvegicus"
"Cavia_porcellus","vert","mammalia","rodent","low","ERG",50,629,"terrestrial","herbivore","Cavia_porcellus"
"Spermophilus_lateralis","vert","mammalia","rodent","high","ERG",108,215.5,"terrestrial","herbivore","Spermophilus_lateralis"
"Tamiasciurus_hudsonicus","vert","mammalia","rodent","high","ERG",65,215,"arboreal","herbivore","Tamiasciurus_hudsonicus"
"Macaca_mulatta","vert","mammalia","primate","high","Beh",95,7710,"terrestrial","herbivore","Macaca_mulatta"
"Homo_sapiens","vert","mammalia","primate","high","Beh",60,67100,"terrestrial","pred_forage","Homo_sapiens"
"Tupaia_glis","vert","mammalia","shrew","high","Beh",90,142,"arboreal","herbivore","Tupaia_glis"
"Tupaia_belangeri","vert","mammalia","shrew","high","Beh",70,270,"arboreal","herbivore","Tupaia_belangeri"
"Pagophilus_groenlandicus","vert","mammalia","carnivora","low","Beh",32.7,119600,"benthopelagic","pred_ballistic","Pagophilus_groenlandicus"
"Canis_lupus","vert","mammalia","mammalia","high","Beh",75,13900,"terrestrial","pred_forage","Canis_lupus"
"Felis_silvestris","vert","mammalia","carnivora","low","ERG",47.5,3054,"terrestrial","pred_pursuit","Felis_silvestris"
"Ambystoma_tigrinum","vert","amphibian","amphibian","low","ERG",30,10.78,"terrestrial","pred_ballistic","Ambystoma_tigrinum"
"Rana_clamitans","vert","amphibian","amphibian","low","ERG",21,60,"terrestrial","pred_ballistic","Rana_clamitans"
"Bufo_marinus","vert","amphibian","amphibian","low","ERG",7,2500,"terrestrial","pred_ballistic","Bufo_marinus"
"Oryzias_latipes","vert","fish","fish","low","ERG",37.2,0.21,"benthopelagic","pred_forage","Oryzias_latipes"
"Paralichthys_dentatus","vert","fish","fish","high","ERG",52,12000,"demersal","pred_ballistic","Paralichthys_dentatus"
"Centropomus_undecimalis","vert","fish","fish","low","ERG",40,24300,"benthopelagic","pred_ballistic","Centropomus_undecimalis"
"Rachycentron_canadum","vert","fish","fish","high","ERG",65,68000,"marine_reef","pred_pursuit","Rachycentron_canadum"
"Xiphias_gladius","vert","fish","fish","high","ERG",40,550000,"pelagic","pred_pursuit","Xiphias_gladius"
"Thunnus_albacares","vert","fish","fish","high","ERG",80,45349,"pelagic","pred_pursuit","Thunnus_albacares"
"Thunnus_obesus","vert","fish","fish","low","ERG",37,210000,"pelagic","pred_pursuit","Thunnus_obesus"
"Pomatomus_saltatrix","vert","fish","fish","high","ERG",56,14400,"pelagic","pred_pursuit","Pomatomus_saltatrix"
"Paralabrax_nebulifer","vert","fish","fish","high","VEP",60,6000,"marine_reef","pred_ballistic","Paralabrax_nebulifer"
"Centropristis_striata","vert","fish","fish","high","ERG",52,4300,"benthopelagic","pred_ballistic","Centropristis_striata"
"Morone_saxatilis","vert","fish","fish","high","ERG",74,57000,"demersal","pred_ballistic","Morone_saxatilis"
"Lagodon_rhomboides","vert","fish","fish","high","ERG",44,1500,"demersal","pred_forage","Lagodon_rhomboides"
"Cynoscion_nebulosus","vert","fish","fish","high","ERG",60,7900,"demersal","pred_ballistic","Cynoscion_nebulosus"
"Cynoscion_regalis","vert","fish","fish","low","ERG",42,8900,"demersal","pred_ballistic","Cynoscion_regalis"
"Micropogonias_undulatus","vert","fish","fish","high","ERG",59,2600,"demersal","pred_forage","Micropogonias_undulatus"
"Sciaenops_ocellatus","vert","fish","fish","high","ERG",54,45000,"demersal","pred_ballistic","Sciaenops_ocellatus"
"Leiostomus_xanthurus","vert","fish","fish","high","ERG",55,450,"demersal","pred_forage","Leiostomus_xanthurus"
